ID,Collection,ENS,Minting Date,Tx Count,Power
6950390,0x4deda952490e2e8bf19f01accff62039b2384d07,,Tue Dec 26 2023 12:38:30 GMT+0100 (Central European Standard Time),1,5
6950361,0x589184995dccd1dd2c8d951f07032f01c1a4a5b3,descidegen.eth,Tue Dec 26 2023 11:27:50 GMT+0100 (Central European Standard Time),1,5
6950346,0x10fa00823d930bd4ab3592cded68d830da652d22,,Tue Dec 26 2023 10:40:45 GMT+0100 (Central European Standard Time),1,7
6950314,0x68a01ca79685447b0bf32b1aca7c515448eb98b5,,Tue Dec 26 2023 09:41:50 GMT+0100 (Central European Standard Time),1,7
6950172,0x348b735403992203a768751c32871e2e4f462bc7,serliang.eth,Tue Dec 26 2023 03:09:55 GMT+0100 (Central European Standard Time),1,6
6950168,0xa90626f3ed8e2da950edfd3b89b72db719e16f1a,gimmychang.eth,Tue Dec 26 2023 02:42:15 GMT+0100 (Central European Standard Time),1,11
6950134,0x68dbebeaa527009430779257b77a06aeed576a29,michsoftster.eth,Tue Dec 26 2023 00:55:50 GMT+0100 (Central European Standard Time),1,128
6950088,0xe4c65d7deccbeef7c339e292a557e681111c46d1,,Mon Dec 25 2023 22:55:40 GMT+0100 (Central European Standard Time),1,32
6950076,0x1282f34438cb205d201dd357398b85e7729dd3a2,vmark.eth,Mon Dec 25 2023 22:07:35 GMT+0100 (Central European Standard Time),1,38
6950022,0xf0772eb66bdb39a953273ab1f8a5a086db247d3a,bpopa.eth,Mon Dec 25 2023 20:48:00 GMT+0100 (Central European Standard Time),1,46
6949962,0x741cb6a6a8dc16363666462769d8dec996311466,👅🌈👅.eth,Mon Dec 25 2023 20:00:15 GMT+0100 (Central European Standard Time),1,96
6949947,0x9f2589aede1bb71e7513b3f1be6bc8e6f2ab6136,fabrizio.eth,Mon Dec 25 2023 19:23:20 GMT+0100 (Central European Standard Time),1,17
6949944,0xcbaf15d6d097fbf0d744814ebe92e00e00321fc3,elliot37.eth,Mon Dec 25 2023 19:18:00 GMT+0100 (Central European Standard Time),1,11
6949807,0xa19a11cb5928bf07b5b6aba256f63142343a59bc,ocandocrypto.eth,Mon Dec 25 2023 14:54:25 GMT+0100 (Central European Standard Time),1,171
6949756,0xaed8810b3f7367d63a6d6fd86dfb1878552d9d07,,Mon Dec 25 2023 13:03:40 GMT+0100 (Central European Standard Time),1,1
6949742,0x61f4c9bb022dff50d213f007e6b5004b54543e3c,quadcore.eth,Mon Dec 25 2023 12:16:25 GMT+0100 (Central European Standard Time),1,6
6949732,0x27095f404e0f9a4e2a7ae2dff988d0919ca0cd24,,Mon Dec 25 2023 11:22:20 GMT+0100 (Central European Standard Time),1,1
6949714,0xfe8fc1ebe90d38533daf74c5e24915821ae59d0d,,Mon Dec 25 2023 10:56:15 GMT+0100 (Central European Standard Time),1,1
6949707,0x4614302cbf818a3e5f25639d7f6a408988aaf9b9,0xhuseyin.eth,Mon Dec 25 2023 10:28:00 GMT+0100 (Central European Standard Time),2,4
6949658,0xd3a56de936e3d190519ee99e8409748e44969b98,,Mon Dec 25 2023 06:17:20 GMT+0100 (Central European Standard Time),1,1
6949596,0x393086576cdbe9c50e7bd1a90bd0ae58f3617260,0xcryptobaby.eth,Mon Dec 25 2023 01:40:20 GMT+0100 (Central European Standard Time),1,59
6949203,0xe993486b257cd1481aef74b3b909a2627fc8d305,,Sun Dec 24 2023 15:40:30 GMT+0100 (Central European Standard Time),1,27
6949177,0x6a66599f55b4bba4f4aafdd73eb63d7a9893ae5a,morph.dev.eth,Sun Dec 24 2023 15:09:10 GMT+0100 (Central European Standard Time),1,5
6949124,0xc4918a5ab89aa041222392fb43b5a2abb7a9a892,eagleedge.eth,Sun Dec 24 2023 14:07:50 GMT+0100 (Central European Standard Time),1,3
6949102,0x99fccf23f1f06836e8267113a588b01339fdfcc4,,Sun Dec 24 2023 13:51:50 GMT+0100 (Central European Standard Time),1,7
6949048,0xf51c53b2c184aa43a7d24aa4f0cf13d0e8b56c51,zemse.eth,Sun Dec 24 2023 12:40:05 GMT+0100 (Central European Standard Time),1,43
6948961,0x3862792a0636b81e27a230f7ed7de2363af1359b,perpetualbeta.eth,Sun Dec 24 2023 08:56:30 GMT+0100 (Central European Standard Time),1,103
6948937,0xd2b904b1cba5436fe504da9afb721ad41be251b7,,Sun Dec 24 2023 08:01:30 GMT+0100 (Central European Standard Time),1,12
6948850,0x96a2e1cb03128dc4cd2b5d9502f0aab8e9a9e856,navboost.eth,Sun Dec 24 2023 03:08:05 GMT+0100 (Central European Standard Time),1,16
6948819,0x199012076ea09f92d8c30c494e94738cff449f57,tachibana.eth,Sun Dec 24 2023 02:01:40 GMT+0100 (Central European Standard Time),1,46
6948722,0x44599c58d5f56918064fe4a7db0d6543b401c4a3,,Sat Dec 23 2023 23:37:35 GMT+0100 (Central European Standard Time),1,22
6948652,0x4f3c2363d7dc0b55ba5fb8f79ba2378d189ddf79,zkasv.eth,Sat Dec 23 2023 22:46:20 GMT+0100 (Central European Standard Time),1,107
6948583,0xaaaad377630a7ce6dfb4cc5318f0399c611de179,eatsleepcrypto.eth,Sat Dec 23 2023 22:10:00 GMT+0100 (Central European Standard Time),1,10
6948538,0x70292543a3254c74399b3f6d86ac6fec37f4e82a,,Sat Dec 23 2023 21:44:10 GMT+0100 (Central European Standard Time),1,9
6948533,0xc11996d18998beb0281dbd52a860214d9d869697,,Sat Dec 23 2023 21:39:55 GMT+0100 (Central European Standard Time),1,1
6948440,0x112f0732e59e7600768dfc35ba744b89f2356cd8,btchip.sismo.eth,Sat Dec 23 2023 21:05:50 GMT+0100 (Central European Standard Time),1,63
6948278,0x6b6a9a1e06f761cbd7f6ea4545d2e9c3509e65f2,,Sat Dec 23 2023 16:31:35 GMT+0100 (Central European Standard Time),1,177
6948273,0x4dd05e12d0244575c77c31c24f0e273610c085d9,dirtynode.eth,Sat Dec 23 2023 16:24:35 GMT+0100 (Central European Standard Time),1,72
6948224,0x2a81c13f9366395c8fd1ea24912294230d062db3,garysheng.eth,Sat Dec 23 2023 15:10:10 GMT+0100 (Central European Standard Time),1,5
6948221,0x7cb462122697c7ebc8b5a3a9a67b2cb4cb9c1229,ethsec.eth,Sat Dec 23 2023 14:57:25 GMT+0100 (Central European Standard Time),1,21
6948200,0x1006255be450bc35265f69a8f6928850b427b772,severiano.eth,Sat Dec 23 2023 14:31:00 GMT+0100 (Central European Standard Time),1,16
6948162,0xa5dcd275630494d4d174d1df53659e1591f2726c,josui.eth,Sat Dec 23 2023 13:16:25 GMT+0100 (Central European Standard Time),1,6
6948140,0xc55b09cf65eac3efc76f86b2d63eec45cce1983a,,Sat Dec 23 2023 12:50:15 GMT+0100 (Central European Standard Time),1,31
6948100,0xc617cd97eef4e2d3cf9996d6a9837c75a23b1e20,,Sat Dec 23 2023 12:01:50 GMT+0100 (Central European Standard Time),1,22
6948082,0xd26bd8afcfc2c8c18e65d77d053086f9bedc84e4,alexanderem49.eth,Sat Dec 23 2023 11:44:20 GMT+0100 (Central European Standard Time),1,4
6948047,0x1446103c5994c8a1c0dc55ab353bacec3c88a4c6,tmigone.eth,Sat Dec 23 2023 10:59:00 GMT+0100 (Central European Standard Time),1,85
6948019,0x030cd9c6e0fa5e80b6c4c389367ab7aabd001b37,razzor.eth,Sat Dec 23 2023 10:20:20 GMT+0100 (Central European Standard Time),1,4
6948016,0xce8d52c38d74b77a0aa361c48fdce6b220a3370e,abhimanyu.eth,Sat Dec 23 2023 10:15:55 GMT+0100 (Central European Standard Time),1,21
6948012,0x74199ddac9607a3a694011793f674fa1e0d0fe2d,jaybuidl.eth,Sat Dec 23 2023 10:08:15 GMT+0100 (Central European Standard Time),1,185
6948011,0xdf0d862bb7bdb0a42e9170925c7bac4b652e59ed,,Sat Dec 23 2023 10:04:45 GMT+0100 (Central European Standard Time),1,12
6948006,0xf417ace7b13c0ef4fcb5548390a450a4b75d3eb3,woj.eth,Sat Dec 23 2023 09:55:55 GMT+0100 (Central European Standard Time),1,64
6947858,0x158ea94e633922cc32ebd8735b87022bfde7084f,,Sat Dec 23 2023 06:25:40 GMT+0100 (Central European Standard Time),1,4
6947777,0xeb742e43956e0ea89a2db6bf6237c79ee4645981,,Sat Dec 23 2023 03:56:40 GMT+0100 (Central European Standard Time),1,3
6947648,0xdc0b44ccb8164196c72e0f2b9763d5db3b00a481,notharith.eth,Sat Dec 23 2023 03:07:40 GMT+0100 (Central European Standard Time),1,32
6946384,0xa322bd417154d04d5704952e550288f0f91044bd,,Fri Dec 22 2023 22:03:05 GMT+0100 (Central European Standard Time),1,378
6946356,0xb6e58769550608def3043dccbbe1fa653af23151,,Fri Dec 22 2023 21:46:00 GMT+0100 (Central European Standard Time),1,5
6946283,0xba40fafbab8e90b8712520d4ed408a1f194190bc,reaktornano.eth,Fri Dec 22 2023 21:05:15 GMT+0100 (Central European Standard Time),1,18
6946229,0x23c910023a65a2a18f0b5c8ad1206530d75ce0f7,vvander.eth,Fri Dec 22 2023 20:21:45 GMT+0100 (Central European Standard Time),1,153
