ID,Collection,ENS,Minting Date,Tx Count,Power
4890314,0x835b2199563ba8034f9c647e5b33f478052a9e1d,,Wed May 04 2022 09:43:40 GMT+0200 (Central European Summer Time),1,4
4890210,0x41bd92a18fb08b8fed766ba5b17309c76bcd0aa1,mitsumasa.eth,Wed May 04 2022 08:23:00 GMT+0200 (Central European Summer Time),1,18
4890068,0xeca9ae8c2083ddb42b0bc55ae103b078af947de3,krlosmata.eth,Wed May 04 2022 06:23:15 GMT+0200 (Central European Summer Time),1,49
4890045,0xb38fa6e133b098db3d87dc21082d145c83c1a00a,,Wed May 04 2022 05:58:15 GMT+0200 (Central European Summer Time),1,6
4889000,0x7f8b9fa32e2167922448e87a716776379e7f2a18,mav.eth,Wed May 04 2022 00:19:30 GMT+0200 (Central European Summer Time),1,1
4886051,0x8b575cf6ca23a79cecdfb6d7d04be118a91386da,vquelque.eth,Tue May 03 2022 18:09:15 GMT+0200 (Central European Summer Time),1,16
4884838,0x77e3630dec288c9a477bc430c44d8507068a63d1,mpetrunic.eth,Tue May 03 2022 14:21:45 GMT+0200 (Central European Summer Time),1,43
4884786,0xf6ea0f90839f61273dce8927093ee445bb85c0cc,,Tue May 03 2022 14:02:35 GMT+0200 (Central European Summer Time),1,1
4884601,0x8f9113a03cf99413eed9074c13437eb5baf6ec4c,0xignasi.eth,Tue May 03 2022 12:58:55 GMT+0200 (Central European Summer Time),3,50
4884421,0xe2b52fc1ad49b93f85c45315ecbad740f17b0e8e,petertheone.eth,Tue May 03 2022 11:18:20 GMT+0200 (Central European Summer Time),1,47
4884382,0xb9336d4675ddfa5a5665254c23f0d07b8b54efce,,Tue May 03 2022 10:47:15 GMT+0200 (Central European Summer Time),1,2
4883911,0x699cd1db05568f65217139c5c11377345190d410,,Tue May 03 2022 06:29:15 GMT+0200 (Central European Summer Time),1,12
4883696,0x761840431f051db17a8c663c5e555309ccd497f2,,Tue May 03 2022 05:27:40 GMT+0200 (Central European Summer Time),1,3
4883137,0x6649ac7d2bb0c324fcd696e588738052b0547cb0,velmeshev.eth,Tue May 03 2022 02:15:05 GMT+0200 (Central European Summer Time),1,5
4881050,0x212d6d36440524b6a405d2b3984c15bbd3ebefb3,readingfrog.eth,Mon May 02 2022 20:00:30 GMT+0200 (Central European Summer Time),1,63
4880739,0xc418fd33ef4e3e1937b053f927d23bf650cdf368,noamcohen.eth,Mon May 02 2022 18:51:05 GMT+0200 (Central European Summer Time),1,3
4878923,0xed0087b28b00b92c5c7767b1ddab3095762150cf,rgoyal.eth,Mon May 02 2022 10:21:25 GMT+0200 (Central European Summer Time),1,45
4878105,0x025f7cb6bdb8cd6ed126e1cb2efe2fc3539602b8,ellaq.eth,Mon May 02 2022 06:29:20 GMT+0200 (Central European Summer Time),1,6
4877954,0xc3f434b581cd26848a596a228dde6de918717a50,,Mon May 02 2022 03:22:05 GMT+0200 (Central European Summer Time),1,7
4876173,0x57757e3d981446d585af0d9ae4d7df6d64647806,patricioworthalter.eth,Mon May 02 2022 00:41:15 GMT+0200 (Central European Summer Time),1,26
4875616,0x468638f0a6680a8bb03c4b99dbb160b043c0e9a8,,Sun May 01 2022 23:14:15 GMT+0200 (Central European Summer Time),1,4
4875263,0x5e517a9537d37ea7674ea8f99c786ad5bb9e0fd9,,Sun May 01 2022 22:30:10 GMT+0200 (Central European Summer Time),1,3
4874971,0x8f402318bb49776f5017d2fb12c90d0b0acaaae8,leviyehonatan.eth,Sun May 01 2022 21:52:50 GMT+0200 (Central European Summer Time),1,5
4874869,0x4c47b2520e9f7e3da15df09718d467f783b03858,deobrands.eth,Sun May 01 2022 21:26:05 GMT+0200 (Central European Summer Time),1,35
4874664,0xccbe420154e927bbbd4c1f903d7d710045ea821c,granul.eth,Sun May 01 2022 19:20:30 GMT+0200 (Central European Summer Time),1,1
4874569,0x798ff514d08e535dce8a93b708526ea8b7d1cda3,,Sun May 01 2022 18:43:30 GMT+0200 (Central European Summer Time),1,13
4874396,0x90af5fd18dd688a558a4de9c2bd859a188350d45,,Sun May 01 2022 17:21:10 GMT+0200 (Central European Summer Time),1,3
4874068,0xdc66cc593c838939dc52aa692eec8c348732c4c1,ra-phael.eth,Sun May 01 2022 14:54:50 GMT+0200 (Central European Summer Time),1,14
4873062,0x0fd8bfd65ba2b7e66228ad0272e0f70e363f8e36,,Sun May 01 2022 09:46:05 GMT+0200 (Central European Summer Time),1,2
4872435,0xa2ec1757ad4addec51eb3eb12f09acf2775c0758,,Sun May 01 2022 07:58:35 GMT+0200 (Central European Summer Time),1,22
4871413,0x5fcc5aaa4862d062feec070ae0124728ede12897,menam.eth,Sun May 01 2022 04:11:05 GMT+0200 (Central European Summer Time),1,1
4871031,0xc891b3462aedd0bcf391986e8cd1ae56705b8656,takamichi.eth,Sun May 01 2022 02:17:10 GMT+0200 (Central European Summer Time),1,7
4870593,0xe2aa16cdbd9d4c414a849475fa3ffd30b2b51cf4,nakrmili.eth,Sat Apr 30 2022 22:50:25 GMT+0200 (Central European Summer Time),1,15
4869436,0xf2dfcae8fef5b5cd5d89a527d193da567a5d6297,tomso.eth,Sat Apr 30 2022 18:35:55 GMT+0200 (Central European Summer Time),1,538
4868793,0x8f0a4848057f8d42176e6934f78666614f7ee0de,mattshams.eth,Sat Apr 30 2022 16:25:15 GMT+0200 (Central European Summer Time),1,8
4868085,0xd80f5e1b9f76e704ebfe9c8dade6b922ad8e9b47,,Sat Apr 30 2022 14:28:10 GMT+0200 (Central European Summer Time),1,2
4865599,0xb19bc46c52a1352a071fe2389503b6fe1abd50ff,,Sat Apr 30 2022 12:00:05 GMT+0200 (Central European Summer Time),1,26
4865501,0x19214cfb9439eed6dcfd5e315bf6dc786a6e1108,,Sat Apr 30 2022 11:42:20 GMT+0200 (Central European Summer Time),1,11
4865395,0x565b3b224f9f83573ca560b51cd772171380f826,alnecultra.eth,Sat Apr 30 2022 11:13:35 GMT+0200 (Central European Summer Time),1,13
4863742,0xce3d85115ef7dd7bea143a67295117ea6276cd3e,vorondil.eth,Sat Apr 30 2022 07:46:35 GMT+0200 (Central European Summer Time),1,11
4861223,0x3d30c7f60a8086763b8cee887ed4db90c4dbe585,,Sat Apr 30 2022 02:51:00 GMT+0200 (Central European Summer Time),1,7
4851291,0x7828b208be027b3e416a013dca16e70fc5d118a9,,Fri Apr 29 2022 17:38:10 GMT+0200 (Central European Summer Time),1,1
4850730,0xa81e1e83b0aa15b4ff23916c654affdc8e981b2f,,Fri Apr 29 2022 17:22:45 GMT+0200 (Central European Summer Time),1,44
4849444,0xbfecec47dd8bf5f6264a9830a9d26ef387c38a67,,Fri Apr 29 2022 15:35:35 GMT+0200 (Central European Summer Time),1,7
4849416,0x43f60bdc4c5dff22ce2ef56930873dfa76f3407d,,Fri Apr 29 2022 15:33:30 GMT+0200 (Central European Summer Time),1,4
